core,l1i_size,l1d_size,l2_size,l1d_assoc,l1i_assoc,l2_assoc,sys_clock,latency,area,power
1.0,6.0,5.0,6.0,2.0,4.0,1.0,3.3,0.000171,17.373,2.28
1.0,6.0,5.0,6.0,2.0,4.0,1.0,3.3,0.000171,17.373,2.28
1.0,6.0,5.0,6.0,2.0,4.0,1.0,3.3,0.000171,17.373,2.28
1.0,6.0,5.0,6.0,2.0,4.0,1.0,3.3,0.000171,17.373,2.28
1.0,6.0,5.0,6.0,2.0,4.0,1.0,3.3,0.000171,17.373,2.28
1.0,6.0,5.0,6.0,2.0,4.0,1.0,3.3,0.000171,17.373,2.28
1.0,6.0,5.0,6.0,2.0,4.0,1.0,3.3,0.000171,17.373,2.28
1.0,6.0,5.0,6.0,2.0,4.0,1.0,3.3,0.000171,17.373,2.28
1.0,6.0,5.0,6.0,2.0,4.0,1.0,3.3,0.000171,17.373,2.28
1.0,6.0,5.0,6.0,2.0,4.0,1.0,3.3,0.000171,17.373,2.28
1.0,6.0,5.0,6.0,2.0,4.0,1.0,3.3,0.000171,17.373,2.28
1.0,6.0,5.0,6.0,2.0,4.0,1.0,3.3,0.000171,17.373,2.28
1.0,6.0,5.0,6.0,2.0,4.0,1.0,3.3,0.000171,17.373,2.28
1.0,6.0,5.0,6.0,2.0,4.0,1.0,3.3,0.000171,17.373,2.28
1.0,6.0,5.0,6.0,2.0,4.0,1.0,3.3,0.000171,17.373,2.28
1.0,6.0,5.0,6.0,2.0,4.0,1.0,3.3,0.000171,17.373,2.28
1.0,6.0,5.0,6.0,2.0,4.0,1.0,3.3,0.000171,17.373,2.28
1.0,6.0,5.0,6.0,2.0,4.0,1.0,3.3,0.000171,17.373,2.28
1.0,6.0,5.0,6.0,2.0,4.0,1.0,3.3,0.000171,17.373,2.28
1.0,6.0,5.0,6.0,2.0,4.0,1.0,3.3,0.000171,17.373,2.28
1.0,6.0,5.0,6.0,2.0,4.0,1.0,3.3,0.000171,17.373,2.28
1.0,8.0,5.0,6.0,2.0,4.0,1.0,3.3,0.000171,18.181,2.402
1.0,6.0,5.0,6.0,2.0,4.0,1.0,3.3,0.000171,17.373,2.28
1.0,6.0,5.0,6.0,2.0,4.0,1.0,3.3,0.000171,17.373,2.28
1.0,6.0,5.0,6.0,2.0,4.0,1.0,3.3,0.000171,17.373,2.28
1.0,6.0,5.0,6.0,2.0,4.0,1.0,3.3,0.000171,17.373,2.28
1.0,6.0,5.0,6.0,2.0,4.0,1.0,3.3,0.000171,17.373,2.28
1.0,6.0,5.0,6.0,2.0,4.0,1.0,3.3,0.000171,17.373,2.28
1.0,6.0,5.0,6.0,2.0,4.0,1.0,3.3,0.000171,17.373,2.28
1.0,6.0,5.0,6.0,2.0,4.0,1.0,3.3,0.000171,17.373,2.28
1.0,6.0,5.0,6.0,2.0,4.0,1.0,3.3,0.000171,17.373,2.28
1.0,6.0,5.0,6.0,2.0,4.0,1.0,3.3,0.000171,17.373,2.28
1.0,6.0,5.0,6.0,2.0,4.0,1.0,3.3,0.000171,17.373,2.28
1.0,5.0,5.0,6.0,2.0,4.0,1.0,3.3,0.000171,17.234,2.26
1.0,6.0,5.0,6.0,2.0,4.0,1.0,3.3,0.000171,17.373,2.28
1.0,6.0,5.0,6.0,2.0,4.0,1.0,3.3,0.000171,17.373,2.28
1.0,6.0,5.0,6.0,2.0,4.0,1.0,3.3,0.000171,17.373,2.28
1.0,6.0,5.0,6.0,2.0,4.0,1.0,3.3,0.000171,17.373,2.28
1.0,6.0,5.0,6.0,2.0,4.0,1.0,3.3,0.000171,17.373,2.28
1.0,6.0,5.0,6.0,2.0,4.0,1.0,3.3,0.000171,17.373,2.28
1.0,6.0,5.0,6.0,2.0,4.0,1.0,3.3,0.000171,17.373,2.28
1.0,6.0,5.0,6.0,2.0,4.0,1.0,3.3,0.000171,17.373,2.28
1.0,6.0,5.0,6.0,2.0,4.0,1.0,3.3,0.000171,17.373,2.28
1.0,8.0,5.0,6.0,2.0,4.0,1.0,3.3,0.000171,18.181,2.402
1.0,6.0,5.0,6.0,2.0,4.0,1.0,3.3,0.000171,17.373,2.28
1.0,6.0,5.0,6.0,2.0,4.0,1.0,3.3,0.000171,17.373,2.28
1.0,6.0,5.0,6.0,2.0,4.0,1.0,3.3,0.000171,17.373,2.28
1.0,6.0,5.0,6.0,2.0,4.0,1.0,3.3,0.000171,17.373,2.28
1.0,6.0,5.0,6.0,2.0,4.0,1.0,3.3,0.000171,17.373,2.28
1.0,6.0,5.0,6.0,2.0,4.0,1.0,3.3,0.000171,17.373,2.28
1.0,6.0,5.0,6.0,2.0,4.0,1.0,3.3,0.000171,17.373,2.28
1.0,6.0,5.0,6.0,2.0,4.0,1.0,3.3,0.000171,17.373,2.28
1.0,6.0,5.0,6.0,2.0,4.0,1.0,3.3,0.000171,17.373,2.28
1.0,6.0,5.0,6.0,2.0,4.0,1.0,3.3,0.000171,17.373,2.28
1.0,6.0,5.0,6.0,2.0,4.0,1.0,3.3,0.000171,17.373,2.28
1.0,8.0,5.0,6.0,2.0,4.0,1.0,3.3,0.000171,18.181,2.402
1.0,6.0,5.0,6.0,2.0,4.0,1.0,3.3,0.000171,17.373,2.28
1.0,6.0,5.0,6.0,2.0,4.0,1.0,3.3,0.000171,17.373,2.28
1.0,6.0,5.0,6.0,2.0,4.0,1.0,3.3,0.000171,17.373,2.28
1.0,6.0,5.0,6.0,2.0,4.0,1.0,3.3,0.000171,17.373,2.28
1.0,6.0,5.0,6.0,2.0,4.0,1.0,3.3,0.000171,17.373,2.28
1.0,6.0,5.0,6.0,2.0,4.0,1.0,3.3,0.000171,17.373,2.28
1.0,9.0,5.0,6.0,2.0,4.0,1.0,3.3,0.000171,19.266,2.56
1.0,6.0,5.0,6.0,2.0,4.0,1.0,3.3,0.000171,17.373,2.28
1.0,5.0,5.0,6.0,2.0,4.0,1.0,3.3,0.000171,17.234,2.26
1.0,6.0,5.0,6.0,2.0,4.0,1.0,3.3,0.000171,17.373,2.28
1.0,6.0,7.0,6.0,2.0,4.0,1.0,3.3,0.000171,17.865,2.337
1.0,6.0,5.0,6.0,2.0,4.0,1.0,3.3,0.000171,17.373,2.28
1.0,8.0,5.0,6.0,2.0,4.0,1.0,3.3,0.000171,18.181,2.402
1.0,6.0,5.0,6.0,2.0,4.0,1.0,3.3,0.000171,17.373,2.28
1.0,6.0,5.0,6.0,2.0,4.0,1.0,3.3,0.000171,17.373,2.28
1.0,6.0,5.0,6.0,2.0,4.0,1.0,3.3,0.000171,17.373,2.28
1.0,5.0,5.0,6.0,2.0,4.0,1.0,3.3,0.000171,17.234,2.26
1.0,6.0,5.0,6.0,2.0,4.0,1.0,3.3,0.000171,17.373,2.28
1.0,6.0,5.0,6.0,2.0,4.0,1.0,3.3,0.000171,17.373,2.28
1.0,6.0,5.0,6.0,2.0,4.0,1.0,3.3,0.000171,17.373,2.28
1.0,6.0,5.0,6.0,2.0,4.0,1.0,3.3,0.000171,17.373,2.28
1.0,7.0,5.0,6.0,2.0,4.0,1.0,3.3,0.000171,17.62,2.319
1.0,6.0,5.0,6.0,2.0,4.0,1.0,3.3,0.000171,17.373,2.28
1.0,5.0,5.0,6.0,2.0,4.0,1.0,3.3,0.000171,17.234,2.26
1.0,6.0,5.0,6.0,2.0,4.0,1.0,3.3,0.000171,17.373,2.28
1.0,6.0,5.0,6.0,2.0,4.0,1.0,3.3,0.000171,17.373,2.28
1.0,6.0,7.0,6.0,2.0,4.0,1.0,3.3,0.000171,17.865,2.337
1.0,6.0,5.0,6.0,2.0,4.0,1.0,3.3,0.000171,17.373,2.28
1.0,6.0,5.0,6.0,2.0,4.0,1.0,3.3,0.000171,17.373,2.28
1.0,5.0,5.0,6.0,2.0,4.0,1.0,3.3,0.000171,17.234,2.26
1.0,6.0,5.0,6.0,2.0,4.0,1.0,3.3,0.000171,17.373,2.28
1.0,6.0,5.0,6.0,2.0,4.0,1.0,3.3,0.000171,17.373,2.28
1.0,6.0,5.0,6.0,2.0,4.0,1.0,3.3,0.000171,17.373,2.28
1.0,9.0,5.0,6.0,2.0,4.0,1.0,3.3,0.000171,19.266,2.56
1.0,6.0,5.0,6.0,2.0,4.0,1.0,3.3,0.000171,17.373,2.28
1.0,6.0,5.0,6.0,2.0,4.0,1.0,3.3,0.000171,17.373,2.28
1.0,8.0,5.0,6.0,2.0,4.0,1.0,3.3,0.000171,18.181,2.402
1.0,6.0,5.0,6.0,2.0,4.0,1.0,3.3,0.000171,17.373,2.28
1.0,6.0,5.0,6.0,2.0,4.0,1.0,3.3,0.000171,17.373,2.28
1.0,6.0,5.0,6.0,2.0,4.0,1.0,3.3,0.000171,17.373,2.28
1.0,6.0,5.0,6.0,2.0,4.0,1.0,3.3,0.000171,17.373,2.28
1.0,6.0,5.0,6.0,2.0,4.0,1.0,3.3,0.000171,17.373,2.28
1.0,7.0,5.0,6.0,2.0,4.0,1.0,3.3,0.000171,17.62,2.319
1.0,6.0,7.0,6.0,2.0,4.0,1.0,3.3,0.000171,17.865,2.337
1.0,6.0,5.0,6.0,2.0,4.0,1.0,3.3,0.000171,17.373,2.28
1.0,5.0,5.0,6.0,2.0,4.0,1.0,3.3,0.000171,17.234,2.26
1.0,6.0,5.0,6.0,2.0,4.0,1.0,3.3,0.000171,17.373,2.28
1.0,8.0,5.0,6.0,2.0,4.0,1.0,3.3,0.000171,18.181,2.402
1.0,6.0,5.0,6.0,2.0,4.0,1.0,3.3,0.000171,17.373,2.28
1.0,6.0,5.0,6.0,2.0,4.0,1.0,3.3,0.000171,17.373,2.28
3.0,7.0,5.0,6.0,2.0,4.0,1.0,3.3,0.000149,48.995,5.796
1.0,6.0,5.0,6.0,2.0,4.0,1.0,3.3,0.000171,17.373,2.28
1.0,6.0,5.0,6.0,2.0,4.0,1.0,3.3,0.000171,17.373,2.28
1.0,6.0,7.0,6.0,2.0,4.0,1.0,3.3,0.000171,17.865,2.337
1.0,9.0,5.0,6.0,2.0,4.0,1.0,3.3,0.000171,19.266,2.56
1.0,6.0,5.0,6.0,2.0,4.0,1.0,3.3,0.000171,17.373,2.28
1.0,6.0,5.0,6.0,2.0,4.0,1.0,3.3,0.000171,17.373,2.28
1.0,6.0,7.0,6.0,2.0,4.0,1.0,3.3,0.000171,17.865,2.337
1.0,6.0,5.0,6.0,2.0,4.0,1.0,3.3,0.000171,17.373,2.28
1.0,6.0,5.0,6.0,2.0,4.0,1.0,3.3,0.000171,17.373,2.28
1.0,8.0,5.0,6.0,2.0,4.0,1.0,3.3,0.000171,18.181,2.402
1.0,6.0,5.0,6.0,2.0,4.0,1.0,3.3,0.000171,17.373,2.28
1.0,6.0,5.0,6.0,2.0,4.0,1.0,3.3,0.000171,17.373,2.28
1.0,8.0,5.0,6.0,2.0,4.0,1.0,3.3,0.000171,18.181,2.402
1.0,5.0,7.0,6.0,2.0,4.0,1.0,3.3,0.000171,17.726,2.316
1.0,6.0,5.0,6.0,2.0,4.0,1.0,3.3,0.000171,17.373,2.28
1.0,5.0,5.0,6.0,2.0,4.0,1.0,3.3,0.000171,17.234,2.26
1.0,9.0,5.0,6.0,2.0,4.0,1.0,3.3,0.000171,19.266,2.56
1.0,7.0,5.0,6.0,2.0,4.0,1.0,3.3,0.000171,17.62,2.319
1.0,6.0,5.0,6.0,2.0,4.0,1.0,3.3,0.000171,17.373,2.28
1.0,6.0,5.0,6.0,2.0,4.0,1.0,3.3,0.000171,17.373,2.28
1.0,6.0,5.0,6.0,2.0,4.0,1.0,3.3,0.000171,17.373,2.28
1.0,6.0,5.0,6.0,2.0,4.0,1.0,3.3,0.000171,17.373,2.28
1.0,6.0,7.0,6.0,2.0,4.0,1.0,3.3,0.000171,17.865,2.337
1.0,6.0,5.0,6.0,2.0,4.0,1.0,3.3,0.000171,17.373,2.28
1.0,6.0,5.0,6.0,2.0,4.0,1.0,3.3,0.000171,17.373,2.28
1.0,7.0,5.0,6.0,2.0,4.0,1.0,3.3,0.000171,17.62,2.319
1.0,6.0,5.0,6.0,2.0,4.0,1.0,3.3,0.000171,17.373,2.28
1.0,6.0,5.0,6.0,2.0,4.0,1.0,3.3,0.000171,17.373,2.28
1.0,6.0,5.0,6.0,2.0,4.0,1.0,3.3,0.000171,17.373,2.28
1.0,6.0,5.0,6.0,2.0,4.0,1.0,3.3,0.000171,17.373,2.28
1.0,8.0,5.0,6.0,2.0,4.0,1.0,3.3,0.000171,18.181,2.402
1.0,6.0,5.0,6.0,2.0,4.0,1.0,3.3,0.000171,17.373,2.28
1.0,6.0,5.0,6.0,2.0,4.0,1.0,3.3,0.000171,17.373,2.28
1.0,6.0,5.0,6.0,2.0,4.0,1.0,3.3,0.000171,17.373,2.28
1.0,6.0,5.0,6.0,2.0,4.0,1.0,3.3,0.000171,17.373,2.28
1.0,8.0,5.0,6.0,2.0,4.0,1.0,3.3,0.000171,18.181,2.402
1.0,6.0,5.0,6.0,2.0,4.0,1.0,3.3,0.000171,17.373,2.28
1.0,6.0,5.0,6.0,2.0,4.0,1.0,3.3,0.000171,17.373,2.28
1.0,6.0,5.0,6.0,2.0,4.0,1.0,3.3,0.000171,17.373,2.28
1.0,5.0,5.0,6.0,2.0,4.0,1.0,3.3,0.000171,17.234,2.26
1.0,6.0,5.0,6.0,2.0,4.0,1.0,3.3,0.000171,17.373,2.28
1.0,6.0,5.0,6.0,2.0,4.0,1.0,3.3,0.000171,17.373,2.28
1.0,7.0,5.0,6.0,2.0,4.0,1.0,3.3,0.000171,17.62,2.319
1.0,6.0,5.0,6.0,2.0,4.0,1.0,3.3,0.000171,17.373,2.28
1.0,6.0,5.0,6.0,2.0,4.0,1.0,3.3,0.000171,17.373,2.28
1.0,8.0,5.0,6.0,2.0,4.0,1.0,3.3,0.000171,18.181,2.402
1.0,6.0,5.0,6.0,2.0,4.0,1.0,3.3,0.000171,17.373,2.28
1.0,6.0,5.0,6.0,2.0,4.0,1.0,3.3,0.000171,17.373,2.28
1.0,6.0,5.0,6.0,2.0,4.0,1.0,3.3,0.000171,17.373,2.28
1.0,6.0,5.0,6.0,2.0,4.0,1.0,3.3,0.000171,17.373,2.28
1.0,6.0,5.0,6.0,2.0,4.0,1.0,3.3,0.000171,17.373,2.28
1.0,6.0,5.0,6.0,2.0,4.0,1.0,3.3,0.000171,17.373,2.28
1.0,6.0,5.0,6.0,2.0,4.0,1.0,3.3,0.000171,17.373,2.28
1.0,5.0,5.0,6.0,2.0,4.0,1.0,3.3,0.000171,17.234,2.26
1.0,6.0,5.0,6.0,2.0,4.0,1.0,3.3,0.000171,17.373,2.28
1.0,6.0,5.0,6.0,2.0,4.0,1.0,3.3,0.000171,17.373,2.28
1.0,8.0,5.0,6.0,2.0,4.0,1.0,3.3,0.000171,18.181,2.402
1.0,6.0,5.0,6.0,2.0,4.0,1.0,3.3,0.000171,17.373,2.28
1.0,6.0,5.0,6.0,2.0,4.0,1.0,3.3,0.000171,17.373,2.28
1.0,6.0,5.0,6.0,2.0,4.0,1.0,3.3,0.000171,17.373,2.28
1.0,5.0,5.0,6.0,2.0,4.0,1.0,3.3,0.000171,17.234,2.26
1.0,6.0,5.0,6.0,2.0,4.0,1.0,3.3,0.000171,17.373,2.28
1.0,6.0,5.0,6.0,2.0,4.0,1.0,3.3,0.000171,17.373,2.28
1.0,6.0,5.0,6.0,2.0,4.0,1.0,3.3,0.000171,17.373,2.28
1.0,8.0,5.0,6.0,2.0,4.0,1.0,3.3,0.000171,18.181,2.402
1.0,6.0,5.0,6.0,2.0,4.0,1.0,3.3,0.000171,17.373,2.28
1.0,6.0,5.0,6.0,2.0,4.0,1.0,3.3,0.000171,17.373,2.28
1.0,8.0,5.0,6.0,2.0,4.0,1.0,3.3,0.000171,18.181,2.402
1.0,6.0,5.0,6.0,2.0,4.0,1.0,3.3,0.000171,17.373,2.28
1.0,6.0,5.0,6.0,2.0,4.0,1.0,3.3,0.000171,17.373,2.28
1.0,6.0,5.0,6.0,2.0,4.0,1.0,3.3,0.000171,17.373,2.28
1.0,6.0,5.0,6.0,2.0,4.0,1.0,3.3,0.000171,17.373,2.28
1.0,6.0,5.0,6.0,2.0,4.0,1.0,3.3,0.000171,17.373,2.28
1.0,6.0,5.0,6.0,2.0,4.0,1.0,3.3,0.000171,17.373,2.28
1.0,6.0,5.0,6.0,2.0,4.0,1.0,3.3,0.000171,17.373,2.28
1.0,6.0,5.0,6.0,2.0,4.0,1.0,3.3,0.000171,17.373,2.28
1.0,8.0,5.0,6.0,2.0,4.0,1.0,3.3,0.000171,18.181,2.402
1.0,6.0,5.0,6.0,2.0,4.0,1.0,3.3,0.000171,17.373,2.28
1.0,6.0,5.0,6.0,2.0,4.0,1.0,3.3,0.000171,17.373,2.28
1.0,6.0,5.0,6.0,2.0,4.0,1.0,3.3,0.000171,17.373,2.28
1.0,8.0,5.0,6.0,2.0,4.0,1.0,3.3,0.000171,18.181,2.402
1.0,6.0,5.0,6.0,2.0,4.0,1.0,3.3,0.000171,17.373,2.28
1.0,6.0,5.0,6.0,2.0,4.0,1.0,3.3,0.000171,17.373,2.28
1.0,6.0,5.0,6.0,2.0,4.0,1.0,3.3,0.000171,17.373,2.28
1.0,6.0,5.0,6.0,2.0,4.0,1.0,3.3,0.000171,17.373,2.28
1.0,6.0,5.0,6.0,2.0,4.0,1.0,3.3,0.000171,17.373,2.28
